ID,Condition,Group,Expectation,Instructions,Trial,Y_axis,X_axis,Radial.Error,Constant_X,Constant_Y,BVE
6,b1,TCA,Teach,Analogy,3,-27.554,-11.893,30.01110403,-11.893,-27.554,1724.83014
6,b1,TCA,Teach,Analogy,4,77.507,14.582,78.86678498,14.582,77.507,4991.46808
6,b1,TCA,Teach,Analogy,5,-13.483,4.71,14.28199527,4.71,-13.483,459.6058482
6,b1,TCA,Teach,Analogy,6,12.095,9.992,15.68850181,9.992,12.095,28.18566061
6,b1,TCA,Teach,Analogy,7,55.261,36.218,66.0720943,36.218,55.261,2959.069935
6,b1,TCA,Teach,Analogy,8,13.333,13.807,19.19380468,13.807,13.333,47.49825901
6,b1,TCA,Teach,Analogy,9,-40.701,13.875,43.00101192,13.875,-40.701,2276.170452
6,b1,TCA,Teach,Analogy,10,28.961,-5.092,29.40523737,-5.092,28.961,751.9668054
6,b3,TCA,Teach,Analogy,1,28.971,7.383,29.89694851,7.383,28.971,253.1886099
6,b3,TCA,Teach,Analogy,2,-13.271,24.763,28.09493922,24.763,-13.271,3194.01303
6,b3,TCA,Teach,Analogy,3,95.629,13.15,96.52889796,13.15,95.629,2827.433173
6,b3,TCA,Teach,Analogy,4,-119.122,5.449,119.2465617,5.449,-119.122,26233.18239
6,b3,TCA,Teach,Analogy,5,72.991,37.809,82.20222967,37.809,72.991,1416.099217
6,b3,TCA,Teach,Analogy,6,256.54,10.16,256.7411093,10.16,256.54,45836.43804
6,b3,TCA,Teach,Analogy,7,-60.089,9.314,60.8065664,9.314,-60.089,10569.35766
6,b3,TCA,Teach,Analogy,8,58.548,36.775,69.13948893,36.775,58.548,699.8655521
6,b3,TCA,Teach,Analogy,9,125.355,20.267,126.9827835,20.267,125.355,6882.55566
6,b3,TCA,Teach,Analogy,10,-20.372,-7.773,21.80453882,-7.773,-20.372,4507.529007
6,b6,TCA,Teach,Analogy,1,114.676,18.267,116.121782,18.267,114.676,5806.739785
6,b6,TCA,Teach,Analogy,2,-22.326,22.326,31.57373199,22.326,-22.326,3778.631082
6,b6,TCA,Teach,Analogy,3,-29.176,9.895,30.80827812,9.895,-29.176,4609.630537
6,b6,TCA,Teach,Analogy,4,-35.519,9.133,36.67439229,9.133,-35.519,5516.4922
6,b6,TCA,Teach,Analogy,5,27.654,18.774,33.42464348,18.774,27.654,141.6015996
6,b6,TCA,Teach,Analogy,6,-6.596,17.76,18.94531119,17.76,-6.596,2055.229039
6,b6,TCA,Teach,Analogy,7,108.587,-12.685,109.3254124,-12.685,108.587,5616.119407
6,b6,TCA,Teach,Analogy,8,65.457,15.984,67.3803169,15.984,65.457,725.50584
6,b6,TCA,Teach,Analogy,9,42.623,15.73,45.43295092,15.73,42.623,18.99188002
6,b6,TCA,Teach,Analogy,10,120.511,25.625,123.2052829,25.625,120.511,6844.463944
6,hp,TCA,Teach,Analogy,1,-113.013,-0.442,113.0138643,-0.442,-113.013,9677.298746
6,hp,TCA,Teach,Analogy,2,25.247,-15.905,29.83923648,-15.905,25.247,2654.115688
6,hp,TCA,Teach,Analogy,3,-98.884,7.582,99.1742516,7.582,-98.884,6946.704247
6,hp,TCA,Teach,Analogy,4,-11.512,14.935,18.85683879,14.935,-11.512,19.10622125
6,hp,TCA,Teach,Analogy,5,46.246,15.261,48.69897984,15.261,46.246,3859.534531
6,hp,TCA,Teach,Analogy,6,12,75,75.95393341,75,12,4362.433893
6,hp,TCA,Teach,Analogy,7,-91.437,4.213,91.53400646,4.213,-91.437,5828.050374
6,hp,TCA,Teach,Analogy,8,17.054,18.978,25.51476827,18.978,17.054,1099.439659
6,hp,TCA,Teach,Analogy,9,9.786,17.844,20.35126856,17.844,9.786,666.0933453
6,hp,TCA,Teach,Analogy,10,45.723,13.769,47.75121035,13.769,45.723,3796.641074
6,lp,TCA,Teach,Analogy,1,-55.327,9.27,56.09821592,9.27,-55.327,136.3558984
6,lp,TCA,Teach,Analogy,2,-110.536,1.2,110.5425135,1.2,-110.536,4551.61839
6,lp,TCA,Teach,Analogy,3,-113.812,12.078,114.4510788,12.078,-113.812,4895.669605
6,lp,TCA,Teach,Analogy,4,-9.148,6.737,11.3610331,6.737,-9.148,1225.73104
6,lp,TCA,Teach,Analogy,5,-10.515,24.356,26.52885148,24.356,-10.515,1278.764646
