ID,Group,Expectation,Instructions,IMI_Q1,IMI_Q2,IMI_Q3,IMI_Q4,IMI_Q5,IMI_Q6,IMI_Q7,IMI_Q8,IMI_Q9,IMI_Q10,IMI_Q11,IMI_Q12,IMI_Q13,IMI_Q14,IMI_Q15,IMI_Q16,IMI_Q17,IMI_Q18,IMI_Q19,IMI_Q20,IMI_Q21,IMI_Q22,IMI_Q23,IMI_Q24,IMI_Q25,IMI_Q26,IMI_Q27,IMI_Q28,IMI_Q29,IMI_Q30,IMI_Q31,IMI_Q32,IMI_Q33,IMI_Q34,IMI_Q35,IMI_Q36,IMI_Q37,MOVE_REINV_Q1,MOVE_REINV_Q2,MOVE_REINV_Q3,MOVE_REINV_Q4,MOVE_REINV_Q5,MOVE_REINV_Q6,MOVE_REINV_Q7,MOVE_REINV_Q8,MOVE_REINV_Q9,MOVE_REINV_Q10,RCSI2_HP_Q1,RCSI2_HP_Q2,RCSI2_HP_Q3,RCSI2_HP_Q4,RCSI2_HP_Q5,RCSI2_HP_Q6,RCSI2_HP_Q7,RCSI2_HP_Q8,RCSI2_HP_Q9,RCSI2_HP_Q10,RCSI2_HP_Q11,RCSI2_HP_Q12,RCSI2_HP_Q13,RCSI2_HP_Q14,RCSI2_HP_Q15,RCSI2_HP_Q16,RCSI2_HP_Q17,RCSI2_LP_Q1,RCSI2_LP_Q2,RCSI2_LP_Q3,RCSI2_LP_Q4,RCSI2_LP_Q5,RCSI2_LP_Q6,RCSI2_LP_Q7,RCSI2_LP_Q8,RCSI2_LP_Q9,RCSI2_LP_Q10,RCSI2_LP_Q11,RCSI2_LP_Q12,RCSI2_LP_Q13,RCSI2_LP_Q14,RCSI2_LP_Q15,RCSI2_LP_Q16,RCSI2_LP_Q17
139,TTA,Test,Analogy,7,2,4,3,4,2,1,5,5,1,6,1,5,7,1,1,6,1,5,6,2,7,6,7,6,7,1,2,7,4,7,2,7,7,1,1,7,1,3,1,0,4,4,4,1,2,3,40,60,70,30,45,10,80,60,65,55,45,15,60,10,10,65,20,30,10,80,25,10,10,75,15,10,65,5,0,90,15,0,55,20
140,TCE,Teach,Explicit,4,6,5,6,5,5,4,4,4,5,3,5,5,4,3,4,5,6,5,3,5,4,5,5,3,5,4,3,6,6,4,5,5,4,4,5,6,3,1,3,2,3,1,3,0,4,1,60,40,70,70,30,60,50,10,70,50,50,50,60,40,40,50,50,60,40,60,60,30,60,50,10,60,50,50,40,50,30,40,50,50
141,TCA,Teach,Analogy,6,7,7,6,6,3,1,2,1,1,4,1,7,7,2,3,6,1,4,5,7,7,7,3,1,6,1,4,4,3,6,3,6,7,2,1,6,2,2,4,4,3,4,5,4,3,3,75,60,50,50,80,15,70,25,90,70,60,0,60,10,80,70,20,65,75,80,15,40,0,75,20,20,50,10,0,30,10,30,70,0
142,TTE,Test,Explicit,4,6,6,4,3,4,5,4,2,3,4,5,4,6,4,3,4,2,5,3,6,5,4,3,3,4,3,5,3,5,5,4,3,5,4,3,5,4,4,5,4,4,3,4,2,3,4,85,75,50,70,45,70,50,40,60,50,50,30,50,0,0,50,50,60,50,60,40,50,10,50,30,60,50,50,20,50,0,0,40,20
143,TCA,Teach,Analogy,5,5,3,3,3,3,1,6,3,3,4,3,6,7,3,2,5,3,5,4,4,3,4,4,1,5,2,2,3,4,5,3,4,7,2,2,6,3,4,4,3,3,3,3,2,2,3,0,50,50,0,67,0,50,0,0,20,50,0,50,20,0,75,0,0,50,50,0,67,0,50,0,0,20,20,0,50,20,0,75,0
144,TCE,Teach,Explicit,7,6,6,1,4,3,1,7,2,4,4,2,6,7,1,1,6,1,4,4,5,5,7,7,1,6,1,1,4,4,5,3,5,6,3,1,6,4,5,5,5,1,4,4,4,4,1,0,5,70,50,50,25,60,30,0,50,10,0,75,0,0,75,0,20,10,60,25,20,10,60,0,0,80,10,0,75,0,0,50,0
146,TCA,Teach,Analogy,4,5,3,3,6,5,4,3,5,5,4,5,3,3,3,4,4,5,3,5,5,5,4,4,4,4,3,3,4,3,4,3,5,5,2,3,4,2,4,2,1,3,2,1,0,3,0,20,20,30,20,20,0,25,40,30,25,30,0,25,15,15,20,0,10,0,50,0,10,0,30,30,30,30,20,0,30,10,0,20,0
147,TCA,Teach,Analogy,6,7,6,4,6,4,NA,6,1,4,3,2,6,6,4,2,5,2,4,5,6,6,4,4,1,6,1,3,3,4,4,4,4,6,3,1,6,3,3,2,3,1,2,4,1,3,1,20,30,15,15,0,0,15,20,40,25,60,15,20,60,0,30,0,20,40,50,10,5,0,30,20,10,30,15,0,25,10,0,30,0
148,TTE,Test,Explicit,5,4,4,5,4,2,1,3,2,1,5,3,7,6,2,1,4,2,4,3,4,6,5,4,2,4,2,2,3,3,5,3,5,6,2,3,4,1,3,1,1,1,1,1,2,4,1,10,25,80,5,50,5,75,50,10,75,60,15,50,30,15,65,40,20,40,80,15,60,15,75,40,20,60,60,10,60,30,15,70,15
149,TTA,Test,Analogy,6,6,6,1,6,5,1,7,3,1,1,1,6,7,2,1,7,1,7,6,5,7,6,7,4,6,1,1,6,5,5,4,7,7,3,2,6,4,3,2,3,1,2,3,3,3,3,85,40,85,50,85,70,100,35,50,90,50,40,75,40,0,85,50,60,75,100,15,45,10,100,50,10,90,15,0,95,0,0,90,15
